chunk_id,document_id,location,section_type,section_title,chunk_index,total_chunks,text,tokens,characters,has_dates,has_legal_refs,dates,case_numbers
6750524485b6640290c37b06_0,6750524485b6640290c37b06,6.HukukDairesi,DAVA,13. Hukuk Dairesi Taraflar arasındaki rücuen tazminat davasından dolayı yapılan yargılama sonunda,0,1,"13. Hukuk Dairesi Taraflar arasındaki rücuen tazminat davasından dolayı yapılan yargılama sonunda, İlk Derece Mahkemesince davanın kabulüne karar verilmiştir. Kararın davacı vekili tarafından istinaf edilmesi üzerine, Bölge Adliye Mahkemesince başvurunun esastan reddine karar verilmiştir. Bölge Adliye Mahkemesi kararı davalı ... Grup Sosyal Hizmetleri İnş. Tem. Taah. Tic. A.Ş. vekili tarafından temyiz edilmekle; yapılan ön inceleme sonucunda gereği düşünüldü: İlk Derece Mahkemesi kararını istinaf etmeyen tarafın, Bölge Adliye Mahkemesinin istinaf başvurusunun esastan reddine ilişkin kararını temyiz etme hakkı bulunmadığından adı geçen davalı vekilinin temyiz dilekçesinin reddine karar verilmiştir. KARAR Açıklanan sebeple; Davalı ... Grup Sosyal Hizmetleri İnş. Tem. Taah. Tic. A.Ş. vekilinin temyiz dilekçesinin REDDİNE, Dosyanın İlk Derece Mahkemesine, kararın bir örneğinin kararı veren Bölge Adliye Mahkemesine gönderilmesine 18.01.2024 tarihinde oy birliğiyle karar verildi.",389,988,True,False,"[""18.01.2024""]","[""2024/257 K."", ""2023/596 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,OTHER,6. Hukuk Dairesi,0,1,"6. Hukuk Dairesi 2022/3281 E. , 2024/117 K. \n ""İçtihat Metni"" MAHKEMESİ :Asliye Hukuk Mahkemesi Taraflar arasındaki tazminat davasından dolayı yapılan yargılama sonunda İlk Derece Mahkemesince davanın reddine karar verilmiştir. İlk Derece Mahkemesi kararı davacılar vekilince temyiz edilmekle; kesinlik, süre, temyiz şartı ve diğer usul eksiklikleri yönünden yapılan ön inceleme sonucunda, temyiz dilekçesinin kabulüne karar verildikten ve Tetkik Hâkimi tarafından hazırlanan rapor dinlendikten sonra dosyadaki belgeler incelenip gereği düşünüldü:",216,548,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,MAHKEME,1. Asliye Hukuk Mahkemesinin,0,1,"1. Asliye Hukuk Mahkemesinin 2009/139 D. ... dosyası üzerinden ihtiyati tedbir konularak inşaatın durdurulduğunu, HUMK'un 109. maddesi gereğince ihtiyati tedbir kararının verildiği tarihten itibaren 10 gün içerisinde esas hakkında davanın açılması gerektiğini ve bu durumun dosyaya ibrazı gerekirken davanın açılmadığını, Hukuk Usulü Muhakemeleri Kanununun 110. maddesi, ihtiyati tedbir kararının haksız olduğunun belirlenmesi halinde tedbir kararı yüzünden uğranılan zararın tazminini düzenlediğini, ihtiyati tedbir kararını icra ettiren tarafın yasal sürede dava açmaması halinde ihtiyati tedbirin haksız konulduğunun kabulü gerektiği, kaldı ki süresinde dava açsa da durumun değişmeyeceğini belirterek müvekkillerinin inşaatının geç bitirilmesinden kaynaklı 10.000,00 TL maddi tazminatın tahsiline karar verilmesini talep etmiştir.",325,834,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,MAHKEME,1.Asliye Hukuk Mahkemesinin,0,1,"1.Asliye Hukuk Mahkemesinin 2009/139 D.... sayılı dosyası üzerinden 26.06.2009 tarihinde tedbir talep edildiği, yapılan keşif sonucu bilirkişilerin raporlarını ibraz ettikleri, 25.12.2009 tarihinde 2776 Parsel üzerinde yapımına devam edilen inşaatın tedbiren durdurulmasına karar verildiği, kararın infazı için 04.01.2010 tarihinde ... Belediye Başkanlığı'na ve Nöbetçi İcra Müdürlüğüne ayrı ayrı müzekkere yazıldığı, 05.01.2010 tarih saat 08:50 itibari ile inşaatın mühürlenerek tedbirin infaz edildiği, dolayısı ile tedbir kararın verildiği tarihten 11 gün geçtikten sonra kararın infaz edildiği, Mahkemenin infaz için yazdığı yazının 10 günlük süre içerisinde olduğu ancak infazın 11. gün gerçekleştiği, 10 günlük süre içerisinde herhangi bir dava açılmadığı, dolayısı ile HUMK'un 109. maddesi gereğince ihtiyati tedbirin infaz tarihi itibari ile kendiliğinden kalkmış olduğu, buna rağmen tedbirin infaz edildiği, HUMK'un 109. maddesi ""Aksi takdirde ihtiyati tedbir bir gûna merasime hacet kalmaksızın kendiliğinden kalkar ve iktizasına göre vazolunan tedbirin fiilen kaldırılması ihtiyati tedbiri tatbik eden daire veya memurdan talep olunabilir"" hükmünü düzenlediği, süresinden bir gün sonra tedbirin infazı sırasında davacıların yahut müteahhidin infaz memurlarından tedbir kararını isteyip süresinde dava açılıp açılmadığına dair de belgeyi istemeleri gerekirken bunu yapmadıkları, kaldı ki 05/01/2010 tarihinden hemen sonra aynı gün tedbirin verildiği dosyanın incelenerek dava açılıp açılmadığının tespit edilerek tedbirin kaldırılmasını talep etmeleri gerekirken infazdan 7 gün sonra 12.01.2010 tarihinde tedbirin kaldırılmasını talep ettikleri, böylece bir zarar varsa zararın ortaya çıkmasına ve artmasına bizzat mülk sahiplerinin ve müteahhidin sebep olduğu, zira inşaat durdurma zabtının altında... isimli şahsın imzasının olduğu, bu şahsın da inşaatı yapan müteahhit...'ın akrabası olduğu görülmekle açılan davanın reddine karar verilmiştir.",760,1956,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,OTHER,23. Hukuk Dairesinin,0,1,"23. Hukuk Dairesinin 04.06.2013 tarihli ve 2013/2984 Esas, 2013/3773 Karar sayılı kararıyla dava tarihinde yürürlükte olan 1086 sayılı HUMK'un 109. maddesinin ''İhtiyati tedbir kararı dava ikamesinden evvel verilmiş ise tatbik edilmiş olsun olmasın kararın verildiği tarihten itibaren on gün zarfında esas hakkında dava ikamesi lazımdır. Bu müddette müddei, davasını ikame eylediğini müsbit evrakı, kararı tatbik eden memura ibrazla dosyaya vaz ve kaydettirerek mukabilinde ilmuhaber almaya mecburdur. Aksi takdirde ihtiyati tedbir bir gûna merasime hacet kalmaksızın kendiliğinden kalkar ve iktizasına göre vazolunan tedbirin fiilen kaldırılması, ihtiyati tedbiri tatbik eden daire veya memurdan talep olunabilir'' hükmünü içerdiği, somut olayda, davalının talebi üzerine ...",304,776,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,MAHKEME,1. Asliye Hukuk Mahkemesinin,0,1,"1. Asliye Hukuk Mahkemesinin 2009/139 D. ... sayılı dosyası üzerinden 25.12.2009 tarihinde inşaatın durdurulması yönünde ihtiyati tedbir kararı verildiği, teminatın 31.12.2009 tarihinde yatırıldığı, 04.01.2010 tarihinde mahkemece, İcra Müdürlüğüne ve Belediye Başkanlığına ihtiyati tedbir kararı gereğince işlem yapılması için müzekkereler yazıldığı, tedbir kararının 05.01.2010 günü saat 08:50'de infaz edildiği, aleyhine ihtiyati tedbir kararı verenlerce 08.01.2010 tarihinde ihtiyati tedbire itiraz edildiği, davalı tarafça 13.01.2010 tarihinde işbu dosyanın davacıları aleyhine ...",242,585,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,MAHKEME,4. Asliye Hukuk Mahkemesinin,0,1,"4. Asliye Hukuk Mahkemesinin 2010/27 Esas sayısına kayıtlı davanın açıldığı anlaşılmıştır. Buna göre HUMK'un 109. maddesi hükmüne aykırı olarak ihtiyati tedbire ilişkin karar tarihinden itibaren 10 gün içinde dava açılmamış olduğu, haksız ihtiyati tedbirden dolayı olan sorumluluğun kusursuz sorumluluk olduğu, yani, haksız ihtiyati tedbir koydurtmuş olan tarafın, bundan doğan maddi zararla sorumlu tutulabilmesi için, ihtiyati tedbiri kötüniyetle istemiş ve koydurmuş olması veya bunda herhangi bir ihmalinin bulunmasının şart olmadığı, ihtiyati tedbir haksız ve bundan da bir zarar doğmuş ise, bu haksız ihtiyati tedbiri koydurtmuş olan tarafın kusurlu olmasa bile bundan zarar gören karşı tarafa veya üçüncü kişiye tazminat ödemekle yükümlü olduğu, ihtiyati tedbir isteyen ve bu kararı icra ettiren kişinin, ihtiyati tedbiri icra ettirdiği halde, HUMK'un 109. maddesindeki on günlük süre içerisinde esas hakkında dava açmazsa, ihtiyati tedbirin haksız konulmuş sayılacağı, haksız ihtiyati tedbirden dolayı tazminat davası açan davacının ödenmesini istediği zararı ile haksız ihtiyati tedbir arasında uygun illiyet (nedensellik) bağı (sebep sonuç ilişkisi) bulunması da gerektiği, bu durumda, somut olayda mahkemece alınan ve icra ettirilen ihtiyati tedbir kararından sonra süresinde dava açılmamış olması nedeniyle tedbirin haksız olduğu kabul edilerek davacılara maddi zararlarını ve illiyet bağını ispat imkanı tanınmalı ve sonucuna göre karar verilmesi gerekçesi ile kararın bozulmasına karar verilmiştir.",589,1512,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,MAHKEME,1. Asliye Hukuk Mahkemesinin,0,1,"1. Asliye Hukuk Mahkemesinin 2009/139 D. ... sayılı dosyası ile dosya kapsamı birlikte değerlendirildiğinde; davalının talebi üzerine mahkemenin 25/12/2009 tarihinde dava konusu 2776 parsel üzerinde yapımı devam edilen inşaatın tedbiren durdurulmasına karar verildiği, ... Belediye Başkanlığına kararın infazı için müzekkere yazıldığı ve 05/01/2010 tarih saat 08:50 itibari ile İnşaatın mühürlenmesi suretiyle kararın infaz edildiği, davalı HUMK'un 109.maddesinde belirtilen tedbir kararının verilmesinden itibaren 10 gün içinde esas hakkında dava açmadığından, 05/01/2010 tarihi itibariyle ihtiyati tedbir kararının kendiliğinden ortadan kalktığı ve ihtiyati tedbir kararının haksız olduğunun kabulü gerektiği her ne kadar davacı tarafça tedbirin 14/01/2010 tarihinde saat 9:00 da fiilen kaldırıldığı bozma ilamına uyulmasına karar verilmesi ile usuli kazanılmış hak doğduğunu, zararın en az kira gelir kaybı kadar olduğu belirtilmiş ise de tazminat davalısının ödemekle yükümlü olduğu miktarın uyulmasına karar verilen Yargıtay ilamında da belirtildiği üzer ihtiyati tedbir kararının icra edildiği tarih ile ihtiyati tedbirin kalktığı ya da kalkmış sayıldığı tarih arasındaki zarar olduğu, ihtiyati tedbir kararının kalkmış sayıldığı tarih ile icra edildiği tarihin aynı olduğu, arada süre zarfı bulunmaması nedeniyle yapılması talep edilen keşifte yoksun kalınan kira kaybına ilişkin hesaplama yapılamayacağından yargılamaya bir katkı sağlamayacağı kanaati ile keşif yapılmadan belirtilen süre zarfından davacının uğradığı zarar bulunmadığından davanın reddine ilişkin aşağıdaki gibi hüküm kurulmuştur.",613,1605,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,DAVA,B. Temyiz Sebepleri Davacılar vekili temyiz dilekçesinde özetle,0,1,"B. Temyiz Sebepleri Davacılar vekili temyiz dilekçesinde özetle; bozmaya uyularak devam eden yargılama sonucunda mahkemece tedbirin kendiliğinde kalmış sayıldığı, bu durumda uygulanan tedbirin hükümsüz olduğu ve tedbirli geçmiş bir süre olmadığı yönlü gerekçe ile davanın reddien karar verildiği, tedbirin fiilen uygulanması ile zarar oluştuğu, mahkemece verilen kararın hem bozma ilamına, hem bozmaya uyulmuş olmakla usuli müktesep haklara, hem de kanuna aykırı olduğu, tedbirin 10 günlük süre geçtikten sonra kalktığı, ancak 11 gün sonra tedbirin infaz edildiği belirtilerek kararın bozulmasına karar verilmesini talep etmiştir.",241,630,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
6750524485b6640290c37b07_0,6750524485b6640290c37b07,6.HukukDairesi,OTHER,1. Uyuşmazlık ve Hukuki Nitelendirme Uyuşmazlık,0,1,"1. Uyuşmazlık ve Hukuki Nitelendirme Uyuşmazlık, arsa payı karşılığı inşaat sözleşmesinden kaynaklanan ihtiyati tedbir kararının uygulanmasından doğan zararın tazmini istemine ilişkindir. 2. İlgili Hukuk 6100 sayılı Hukuk Muhakemeleri Kanununun geçici 3 üncü maddesinin ikinci fıkrası atfıyla uygulanmasına devam olunan mülga 1086 sayılı Hukuk Usulü Muhakemeleri Kanununun 428 inci, 439 uncu maddesinin ikinci fıkrası ve 109. maddeleri, 6098 sayılı Türk Borçlar Kanununun 470 vd. maddeleri.",206,490,True,True,"[""08.01.2010"", ""04.01.2010"", ""12.01.2010"", ""13.01.2010"", ""26.06.2009"", ""14.01.2010"", ""25.12.2009"", ""04.06.2013"", ""31.12.2009"", ""11.01.2024"", ""30.12.2011"", ""05.01.2010""]","[""2024/117 K."", ""2022/3281 E.""]"
